"node_id","parent_id","node_type","band_code","band_title","scene_slug","scene_title","stage_key","stage_title","sort_order","is_published","topic","summary","objective","dialogue_seed","vocabulary_seed","grammar_seed","estimated_minutes","tags","scene_title_en"
"scene:a1-04:stage:core-pattern","scene:a1-04","stage","A1","入门级（生存英语）","a1-04","数字、时间、日期、星期","core-pattern","第 2 关 · 搭句开口","2","true","数字、时间、日期、星期","把关键词拼成能直接复用的短句，先把嘴打开。","能围绕“数字、时间、日期、星期”说出 2 到 3 个完整短句，表达最基本的需求和信息。","围绕“数字、时间、日期、星期”设计 3 轮控制式对话，让学习者练习提问、回答和确认。","提取“数字、时间、日期、星期”里最常用的固定搭配、问句和回应句。","聚焦一般现在时、there is / there are、can / can't 与基础数词时间表达。","5","A1|数字-时间-日期-星期|core-pattern","Numbers, Time, Dates, and Days"
"scene:a1-04:stage:guided-scene","scene:a1-04","stage","A1","入门级（生存英语）","a1-04","数字、时间、日期、星期","guided-scene","第 3 关 · 引导互动","3","true","数字、时间、日期、星期","进入明确场景，按提示完成一轮来回互动。","能在“数字、时间、日期、星期”里完成 3 轮引导式互动，不再只会单个词汇作答。","围绕“数字、时间、日期、星期”设计 3 到 4 轮引导互动，对方先说、学习者跟进回应。","提取“数字、时间、日期、星期”里用于确认、重复、听不清和补充说明的表达。","聚焦疑问句顺序、简单否定句和常见礼貌表达。","5","A1|数字-时间-日期-星期|guided-scene","Numbers, Time, Dates, and Days"
"scene:a1-04:stage:micro-task","scene:a1-04","stage","A1","入门级（生存英语）","a1-04","数字、时间、日期、星期","micro-task","第 4 关 · 完成小任务","4","true","数字、时间、日期、星期","把一句一句练习变成一次完整任务输出。","能独立完成一次“数字、时间、日期、星期”小任务，做到有开场、有说明、有收尾。","围绕“数字、时间、日期、星期”设计 4 轮任务型对话，要求学习者完整表达自己的需求。","提取“数字、时间、日期、星期”里最值得反复复用的收尾句和确认句。","聚焦 and / but 连接、简单 because 结构和收尾确认句。","6","A1|数字-时间-日期-星期|micro-task","Numbers, Time, Dates, and Days"
"scene:a1-05","band:A1","scene","A1","入门级（生存英语）","a1-05","颜色、动物、身体部位","","","5","true","颜色、动物、身体部位","入门级（生存英语） 场景：颜色、动物、身体部位","围绕“颜色、动物、身体部位”完成从输入、搭建、互动到输出的关卡训练。","围绕“颜色、动物、身体部位”生成难度递进的场景对话，确保每一关只聚焦一个核心任务。","围绕“颜色、动物、身体部位”提炼高频词、功能短语、可替换句型和复用表达。","根据 A1 阶段特点，为“颜色、动物、身体部位”匹配最实用的语法重点与表达结构。","20","A1|颜色-动物-身体部位","Colors, Animals, and Body Parts"
"scene:a1-05:stage:survival-input","scene:a1-05","stage","A1","入门级（生存英语）","a1-05","颜色、动物、身体部位","survival-input","第 1 关 · 识别场景","1","true","颜色、动物、身体部位","先认人、认物、认动作，听懂并看懂场景里最基础的信息。","能识别“颜色、动物、身体部位”中最基础的对象、问题和回应方式，知道开口时先说什么。","围绕“颜色、动物、身体部位”设计 2 轮极短对话，突出问候、确认和基础回应。","提取“颜色、动物、身体部位”里最先必须会的 6 个高频词或短语。","聚焦 be 动词、基础疑问句、简单陈述句和礼貌开场。","4","A1|颜色-动物-身体部位|survival-input","Colors, Animals, and Body Parts"
"scene:a1-05:stage:core-pattern","scene:a1-05","stage","A1","入门级（生存英语）","a1-05","颜色、动物、身体部位","core-pattern","第 2 关 · 搭句开口","2","true","颜色、动物、身体部位","把关键词拼成能直接复用的短句，先把嘴打开。","能围绕“颜色、动物、身体部位”说出 2 到 3 个完整短句，表达最基本的需求和信息。","围绕“颜色、动物、身体部位”设计 3 轮控制式对话，让学习者练习提问、回答和确认。","提取“颜色、动物、身体部位”里最常用的固定搭配、问句和回应句。","聚焦一般现在时、there is / there are、can / can't 与基础数词时间表达。","5","A1|颜色-动物-身体部位|core-pattern","Colors, Animals, and Body Parts"
"scene:a1-05:stage:guided-scene","scene:a1-05","stage","A1","入门级（生存英语）","a1-05","颜色、动物、身体部位","guided-scene","第 3 关 · 引导互动","3","true","颜色、动物、身体部位","进入明确场景，按提示完成一轮来回互动。","能在“颜色、动物、身体部位”里完成 3 轮引导式互动，不再只会单个词汇作答。","围绕“颜色、动物、身体部位”设计 3 到 4 轮引导互动，对方先说、学习者跟进回应。","提取“颜色、动物、身体部位”里用于确认、重复、听不清和补充说明的表达。","聚焦疑问句顺序、简单否定句和常见礼貌表达。","5","A1|颜色-动物-身体部位|guided-scene","Colors, Animals, and Body Parts"
"scene:a1-05:stage:micro-task","scene:a1-05","stage","A1","入门级（生存英语）","a1-05","颜色、动物、身体部位","micro-task","第 4 关 · 完成小任务","4","true","颜色、动物、身体部位","把一句一句练习变成一次完整任务输出。","能独立完成一次“颜色、动物、身体部位”小任务，做到有开场、有说明、有收尾。","围绕“颜色、动物、身体部位”设计 4 轮任务型对话，要求学习者完整表达自己的需求。","提取“颜色、动物、身体部位”里最值得反复复用的收尾句和确认句。","聚焦 and / but 连接、简单 because 结构和收尾确认句。","6","A1|颜色-动物-身体部位|micro-task","Colors, Animals, and Body Parts"
"scene:a1-06","band:A1","scene","A1","入门级（生存英语）","a1-06","家庭与家人介绍","","","6","true","家庭与家人介绍","入门级（生存英语） 场景：家庭与家人介绍","围绕“家庭与家人介绍”完成从输入、搭建、互动到输出的关卡训练。","围绕“家庭与家人介绍”生成难度递进的场景对话，确保每一关只聚焦一个核心任务。","围绕“家庭与家人介绍”提炼高频词、功能短语、可替换句型和复用表达。","根据 A1 阶段特点，为“家庭与家人介绍”匹配最实用的语法重点与表达结构。","20","A1|家庭与家人介绍","Family and Relatives"
"scene:a1-06:stage:survival-input","scene:a1-06","stage","A1","入门级（生存英语）","a1-06","家庭与家人介绍","survival-input","第 1 关 · 识别场景","1","true","家庭与家人介绍","先认人、认物、认动作，听懂并看懂场景里最基础的信息。","能识别“家庭与家人介绍”中最基础的对象、问题和回应方式，知道开口时先说什么。","围绕“家庭与家人介绍”设计 2 轮极短对话，突出问候、确认和基础回应。","提取“家庭与家人介绍”里最先必须会的 6 个高频词或短语。","聚焦 be 动词、基础疑问句、简单陈述句和礼貌开场。","4","A1|家庭与家人介绍|survival-input","Family and Relatives"
"scene:a1-06:stage:core-pattern","scene:a1-06","stage","A1","入门级（生存英语）","a1-06","家庭与家人介绍","core-pattern","第 2 关 · 搭句开口","2","true","家庭与家人介绍","把关键词拼成能直接复用的短句，先把嘴打开。","能围绕“家庭与家人介绍”说出 2 到 3 个完整短句，表达最基本的需求和信息。","围绕“家庭与家人介绍”设计 3 轮控制式对话，让学习者练习提问、回答和确认。","提取“家庭与家人介绍”里最常用的固定搭配、问句和回应句。","聚焦一般现在时、there is / there are、can / can't 与基础数词时间表达。","5","A1|家庭与家人介绍|core-pattern","Family and Relatives"
"scene:a1-06:stage:guided-scene","scene:a1-06","stage","A1","入门级（生存英语）","a1-06","家庭与家人介绍","guided-scene","第 3 关 · 引导互动","3","true","家庭与家人介绍","进入明确场景，按提示完成一轮来回互动。","能在“家庭与家人介绍”里完成 3 轮引导式互动，不再只会单个词汇作答。","围绕“家庭与家人介绍”设计 3 到 4 轮引导互动，对方先说、学习者跟进回应。","提取“家庭与家人介绍”里用于确认、重复、听不清和补充说明的表达。","聚焦疑问句顺序、简单否定句和常见礼貌表达。","5","A1|家庭与家人介绍|guided-scene","Family and Relatives"
"scene:a1-06:stage:micro-task","scene:a1-06","stage","A1","入门级（生存英语）","a1-06","家庭与家人介绍","micro-task","第 4 关 · 完成小任务","4","true","家庭与家人介绍","把一句一句练习变成一次完整任务输出。","能独立完成一次“家庭与家人介绍”小任务，做到有开场、有说明、有收尾。","围绕“家庭与家人介绍”设计 4 轮任务型对话，要求学习者完整表达自己的需求。","提取“家庭与家人介绍”里最值得反复复用的收尾句和确认句。","聚焦 and / but 连接、简单 because 结构和收尾确认句。","6","A1|家庭与家人介绍|micro-task","Family and Relatives"
"scene:a1-07","band:A1","scene","A1","入门级（生存英语）","a1-07","日常简单喜好","","","7","true","日常简单喜好","入门级（生存英语） 场景：日常简单喜好","围绕“日常简单喜好”完成从输入、搭建、互动到输出的关卡训练。","围绕“日常简单喜好”生成难度递进的场景对话，确保每一关只聚焦一个核心任务。","围绕“日常简单喜好”提炼高频词、功能短语、可替换句型和复用表达。","根据 A1 阶段特点，为“日常简单喜好”匹配最实用的语法重点与表达结构。","20","A1|日常简单喜好","Simple Daily Preferences"
"scene:a1-07:stage:survival-input","scene:a1-07","stage","A1","入门级（生存英语）","a1-07","日常简单喜好","survival-input","第 1 关 · 识别场景","1","true","日常简单喜好","先认人、认物、认动作，听懂并看懂场景里最基础的信息。","能识别“日常简单喜好”中最基础的对象、问题和回应方式，知道开口时先说什么。","围绕“日常简单喜好”设计 2 轮极短对话，突出问候、确认和基础回应。","提取“日常简单喜好”里最先必须会的 6 个高频词或短语。","聚焦 be 动词、基础疑问句、简单陈述句和礼貌开场。","4","A1|日常简单喜好|survival-input","Simple Daily Preferences"
"scene:a1-07:stage:core-pattern","scene:a1-07","stage","A1","入门级（生存英语）","a1-07","日常简单喜好","core-pattern","第 2 关 · 搭句开口","2","true","日常简单喜好","把关键词拼成能直接复用的短句，先把嘴打开。","能围绕“日常简单喜好”说出 2 到 3 个完整短句，表达最基本的需求和信息。","围绕“日常简单喜好”设计 3 轮控制式对话，让学习者练习提问、回答和确认。","提取“日常简单喜好”里最常用的固定搭配、问句和回应句。","聚焦一般现在时、there is / there are、can / can't 与基础数词时间表达。","5","A1|日常简单喜好|core-pattern","Simple Daily Preferences"
"scene:a1-07:stage:guided-scene","scene:a1-07","stage","A1","入门级（生存英语）","a1-07","日常简单喜好","guided-scene","第 3 关 · 引导互动","3","true","日常简单喜好","进入明确场景，按提示完成一轮来回互动。","能在“日常简单喜好”里完成 3 轮引导式互动，不再只会单个词汇作答。","围绕“日常简单喜好”设计 3 到 4 轮引导互动，对方先说、学习者跟进回应。","提取“日常简单喜好”里用于确认、重复、听不清和补充说明的表达。","聚焦疑问句顺序、简单否定句和常见礼貌表达。","5","A1|日常简单喜好|guided-scene","Simple Daily Preferences"
"scene:a1-07:stage:micro-task","scene:a1-07","stage","A1","入门级（生存英语）","a1-07","日常简单喜好","micro-task","第 4 关 · 完成小任务","4","true","日常简单喜好","把一句一句练习变成一次完整任务输出。","能独立完成一次“日常简单喜好”小任务，做到有开场、有说明、有收尾。","围绕“日常简单喜好”设计 4 轮任务型对话，要求学习者完整表达自己的需求。","提取“日常简单喜好”里最值得反复复用的收尾句和确认句。","聚焦 and / but 连接、简单 because 结构和收尾确认句。","6","A1|日常简单喜好|micro-task","Simple Daily Preferences"
"scene:a1-08","band:A1","scene","A1","入门级（生存英语）","a1-08","天气描述","","","8","true","天气描述","入门级（生存英语） 场景：天气描述","围绕“天气描述”完成从输入、搭建、互动到输出的关卡训练。","围绕“天气描述”生成难度递进的场景对话，确保每一关只聚焦一个核心任务。","围绕“天气描述”提炼高频词、功能短语、可替换句型和复用表达。","根据 A1 阶段特点，为“天气描述”匹配最实用的语法重点与表达结构。","20","A1|天气描述","Talking About the Weather"
"scene:a1-08:stage:survival-input","scene:a1-08","stage","A1","入门级（生存英语）","a1-08","天气描述","survival-input","第 1 关 · 识别场景","1","true","天气描述","先认人、认物、认动作，听懂并看懂场景里最基础的信息。","能识别“天气描述”中最基础的对象、问题和回应方式，知道开口时先说什么。","围绕“天气描述”设计 2 轮极短对话，突出问候、确认和基础回应。","提取“天气描述”里最先必须会的 6 个高频词或短语。","聚焦 be 动词、基础疑问句、简单陈述句和礼貌开场。","4","A1|天气描述|survival-input","Talking About the Weather"
"scene:a1-08:stage:core-pattern","scene:a1-08","stage","A1","入门级（生存英语）","a1-08","天气描述","core-pattern","第 2 关 · 搭句开口","2","true","天气描述","把关键词拼成能直接复用的短句，先把嘴打开。","能围绕“天气描述”说出 2 到 3 个完整短句，表达最基本的需求和信息。","围绕“天气描述”设计 3 轮控制式对话，让学习者练习提问、回答和确认。","提取“天气描述”里最常用的固定搭配、问句和回应句。","聚焦一般现在时、there is / there are、can / can't 与基础数词时间表达。","5","A1|天气描述|core-pattern","Talking About the Weather"
"scene:a1-08:stage:guided-scene","scene:a1-08","stage","A1","入门级（生存英语）","a1-08","天气描述","guided-scene","第 3 关 · 引导互动","3","true","天气描述","进入明确场景，按提示完成一轮来回互动。","能在“天气描述”里完成 3 轮引导式互动，不再只会单个词汇作答。","围绕“天气描述”设计 3 到 4 轮引导互动，对方先说、学习者跟进回应。","提取“天气描述”里用于确认、重复、听不清和补充说明的表达。","聚焦疑问句顺序、简单否定句和常见礼貌表达。","5","A1|天气描述|guided-scene","Talking About the Weather"
"scene:a1-08:stage:micro-task","scene:a1-08","stage","A1","入门级（生存英语）","a1-08","天气描述","micro-task","第 4 关 · 完成小任务","4","true","天气描述","把一句一句练习变成一次完整任务输出。","能独立完成一次“天气描述”小任务，做到有开场、有说明、有收尾。","围绕“天气描述”设计 4 轮任务型对话，要求学习者完整表达自己的需求。","提取“天气描述”里最值得反复复用的收尾句和确认句。","聚焦 and / but 连接、简单 because 结构和收尾确认句。","6","A1|天气描述|micro-task","Talking About the Weather"
"scene:a1-09","band:A1","scene","A1","入门级（生存英语）","a1-09","简单问路与方向","","","9","true","简单问路与方向","入门级（生存英语） 场景：简单问路与方向","围绕“简单问路与方向”完成从输入、搭建、互动到输出的关卡训练。","围绕“简单问路与方向”生成难度递进的场景对话，确保每一关只聚焦一个核心任务。","围绕“简单问路与方向”提炼高频词、功能短语、可替换句型和复用表达。","根据 A1 阶段特点，为“简单问路与方向”匹配最实用的语法重点与表达结构。","20","A1|简单问路与方向","Simple Directions and Navigation"
"scene:a1-09:stage:survival-input","scene:a1-09","stage","A1","入门级（生存英语）","a1-09","简单问路与方向","survival-input","第 1 关 · 识别场景","1","true","简单问路与方向","先认人、认物、认动作，听懂并看懂场景里最基础的信息。","能识别“简单问路与方向”中最基础的对象、问题和回应方式，知道开口时先说什么。","围绕“简单问路与方向”设计 2 轮极短对话，突出问候、确认和基础回应。","提取“简单问路与方向”里最先必须会的 6 个高频词或短语。","聚焦 be 动词、基础疑问句、简单陈述句和礼貌开场。","4","A1|简单问路与方向|survival-input","Simple Directions and Navigation"
"scene:a1-09:stage:core-pattern","scene:a1-09","stage","A1","入门级（生存英语）","a1-09","简单问路与方向","core-pattern","第 2 关 · 搭句开口","2","true","简单问路与方向","把关键词拼成能直接复用的短句，先把嘴打开。","能围绕“简单问路与方向”说出 2 到 3 个完整短句，表达最基本的需求和信息。","围绕“简单问路与方向”设计 3 轮控制式对话，让学习者练习提问、回答和确认。","提取“简单问路与方向”里最常用的固定搭配、问句和回应句。","聚焦一般现在时、there is / there are、can / can't 与基础数词时间表达。","5","A1|简单问路与方向|core-pattern","Simple Directions and Navigation"
"scene:a1-09:stage:guided-scene","scene:a1-09","stage","A1","入门级（生存英语）","a1-09","简单问路与方向","guided-scene","第 3 关 · 引导互动","3","true","简单问路与方向","进入明确场景，按提示完成一轮来回互动。","能在“简单问路与方向”里完成 3 轮引导式互动，不再只会单个词汇作答。","围绕“简单问路与方向”设计 3 到 4 轮引导互动，对方先说、学习者跟进回应。","提取“简单问路与方向”里用于确认、重复、听不清和补充说明的表达。","聚焦疑问句顺序、简单否定句和常见礼貌表达。","5","A1|简单问路与方向|guided-scene","Simple Directions and Navigation"
"scene:a1-09:stage:micro-task","scene:a1-09","stage","A1","入门级（生存英语）","a1-09","简单问路与方向","micro-task","第 4 关 · 完成小任务","4","true","简单问路与方向","把一句一句练习变成一次完整任务输出。","能独立完成一次“简单问路与方向”小任务，做到有开场、有说明、有收尾。","围绕“简单问路与方向”设计 4 轮任务型对话，要求学习者完整表达自己的需求。","提取“简单问路与方向”里最值得反复复用的收尾句和确认句。","聚焦 and / but 连接、简单 because 结构和收尾确认句。","6","A1|简单问路与方向|micro-task","Simple Directions and Navigation"
"scene:a1-10","band:A1","scene","A1","入门级（生存英语）","a1-10","简易点餐","","","10","true","简易点餐","入门级（生存英语） 场景：简易点餐","围绕“简易点餐”完成从输入、搭建、互动到输出的关卡训练。","围绕“简易点餐”生成难度递进的场景对话，确保每一关只聚焦一个核心任务。","围绕“简易点餐”提炼高频词、功能短语、可替换句型和复用表达。","根据 A1 阶段特点，为“简易点餐”匹配最实用的语法重点与表达结构。","20","A1|简易点餐","Basic Ordering Food"
"scene:a1-10:stage:survival-input","scene:a1-10","stage","A1","入门级（生存英语）","a1-10","简易点餐","survival-input","第 1 关 · 识别场景","1","true","简易点餐","先认人、认物、认动作，听懂并看懂场景里最基础的信息。","能识别“简易点餐”中最基础的对象、问题和回应方式，知道开口时先说什么。","围绕“简易点餐”设计 2 轮极短对话，突出问候、确认和基础回应。","提取“简易点餐”里最先必须会的 6 个高频词或短语。","聚焦 be 动词、基础疑问句、简单陈述句和礼貌开场。","4","A1|简易点餐|survival-input","Basic Ordering Food"
