row_id,book_slug,book_title,topic,subtopic,word,phonetic,chinese,example,hint,sort_order
"23","categorized-collection","按类型区分（4000词）","气象","气象","frost","frɒst","n. 霜；霜冻；严寒 v. 结霜","Try using ""frost"" in a sentence related to 气象.","放到“气象”这一类里记，先把 frost 和“霜”稳定对应起来，再连同例句一起复用。","23"
"24","categorized-collection","按类型区分（4000词）","气象","气象","funnel","ˈfʌn(ə)l","n. 漏斗；烟筒 v. 通过狭窄空间；输送","Try using ""funnel"" in a sentence related to 气象.","放到“气象”这一类里记，先把 funnel 和“漏斗”稳定对应起来，再连同例句一起复用。","24"
"25","categorized-collection","按类型区分（4000词）","气象","气象","gale","ɡeɪl","n. 大风；一阵（喧闹）","Try using ""gale"" in a sentence related to 气象.","放到“气象”这一类里记，先把 gale 和“大风”稳定对应起来，再连同例句一起复用。","25"
"26","categorized-collection","按类型区分（4000词）","气象","气象","greenhouse effect","ˈɡriːnhaʊs ɪfekt","phrase. 温室效应","Try using ""greenhouse effect"" in a sentence related to 气象.","放到“气象”这一类里记，先把 greenhouse effect 和“phrase. 温室效应”稳定对应起来，再连同例句一起复用。","26"
"27","categorized-collection","按类型区分（4000词）","气象","气象","hail","heɪl","n. 冰雹 v. 下冰雹；呼喊；欢呼；把…誉为","Try using ""hail"" in a sentence related to 气象.","放到“气象”这一类里记，先把 hail 和“冰雹 v. 下冰雹”稳定对应起来，再连同例句一起复用。","27"
"28","categorized-collection","按类型区分（4000词）","气象","气象","humid","ˈhjuːmɪd","adj. 潮湿的；湿润的","Try using ""humid"" in a sentence related to 气象.","放到“气象”这一类里记，先把 humid 和“潮湿的”稳定对应起来，再连同例句一起复用。","28"
"29","categorized-collection","按类型区分（4000词）","气象","气象","humidity","hjuːˈmɪdəti","n. 湿度；湿气","Try using ""humidity"" in a sentence related to 气象.","放到“气象”这一类里记，先把 humidity 和“湿度”稳定对应起来，再连同例句一起复用。","29"
"30","categorized-collection","按类型区分（4000词）","气象","气象","hurricane","ˈhʌrɪkən","n. 飓风","Try using ""hurricane"" in a sentence related to 气象.","放到“气象”这一类里记，先把 hurricane 和“飓风”稳定对应起来，再连同例句一起复用。","30"
"31","categorized-collection","按类型区分（4000词）","气象","气象","meteorology","ˌmiːtiəˈrɒlədʒi","n. 气象学","Try using ""meteorology"" in a sentence related to 气象.","放到“气象”这一类里记，先把 meteorology 和“气象学”稳定对应起来，再连同例句一起复用。","31"
"32","categorized-collection","按类型区分（4000词）","气象","气象","moisture","ˈmɔɪstʃə(r)","n. 湿气；潮湿","Try using ""moisture"" in a sentence related to 气象.","放到“气象”这一类里记，先把 moisture 和“湿气”稳定对应起来，再连同例句一起复用。","32"
"33","categorized-collection","按类型区分（4000词）","气象","气象","oxygen","ˈɒksɪdʒən","n. 氧；氧气","Try using ""oxygen"" in a sentence related to 气象.","放到“气象”这一类里记，先把 oxygen 和“氧”稳定对应起来，再连同例句一起复用。","33"
"34","categorized-collection","按类型区分（4000词）","气象","气象","ozone layer","ˈəʊzəʊn leɪə(r)","phrase. 臭氧层","Try using ""ozone layer"" in a sentence related to 气象.","放到“气象”这一类里记，先把 ozone layer 和“phrase. 臭氧层”稳定对应起来，再连同例句一起复用。","34"
"35","categorized-collection","按类型区分（4000词）","气象","气象","precipitate","prɪˈsɪpɪteɪt","v. 加速（坏事的发生） n. 沉淀物；冷凝物 adj. 轻率的；仓促的","Try using ""precipitate"" in a sentence related to 气象.","放到“气象”这一类里记，先把 precipitate 和“加速（坏事的发生） n. 沉淀物”稳定对应起来，再连同例句一起复用。","35"
"36","categorized-collection","按类型区分（4000词）","气象","气象","precipitation","prɪˌsɪpɪˈteɪʃ(ə)n","n. 降水；沉淀；匆促","Try using ""precipitation"" in a sentence related to 气象.","放到“气象”这一类里记，先把 precipitation 和“降水”稳定对应起来，再连同例句一起复用。","36"
"37","categorized-collection","按类型区分（4000词）","气象","气象","saturate","ˈsætʃəreɪt","v. 使浸透；使湿透；使满；使饱和","Try using ""saturate"" in a sentence related to 气象.","放到“气象”这一类里记，先把 saturate 和“使浸透”稳定对应起来，再连同例句一起复用。","37"
"38","categorized-collection","按类型区分（4000词）","气象","气象","fog","fɒɡ","n. 雾","Try using ""fog"" in a sentence related to 气象.","放到“气象”这一类里记，先把 fog 和“雾”稳定对应起来，再连同例句一起复用。","38"
"39","categorized-collection","按类型区分（4000词）","气象","气象","serene","səˈriːn","adj. 平静的；宁静的；安详的","Try using ""serene"" in a sentence related to 气象.","放到“气象”这一类里记，先把 serene 和“平静的”稳定对应起来，再连同例句一起复用。","39"
"40","categorized-collection","按类型区分（4000词）","气象","气象","smog","smɒɡ","n. 烟雾","Try using ""smog"" in a sentence related to 气象.","放到“气象”这一类里记，先把 smog 和“烟雾”稳定对应起来，再连同例句一起复用。","40"
"41","categorized-collection","按类型区分（4000词）","气象","气象","temperature","ˈtemprətʃə(r)","n. 温度；气温；体温","Try using ""temperature"" in a sentence related to 气象.","放到“气象”这一类里记，先把 temperature 和“温度”稳定对应起来，再连同例句一起复用。","41"
"42","categorized-collection","按类型区分（4000词）","气象","气象","tempest","ˈtempɪst","n. 暴风雨；骚动","Try using ""tempest"" in a sentence related to 气象.","放到“气象”这一类里记，先把 tempest 和“暴风雨”稳定对应起来，再连同例句一起复用。","42"
"43","categorized-collection","按类型区分（4000词）","气象","气象","tepid","ˈtepɪd","adj. 微温的；不冷不热的；不热情的","Try using ""tepid"" in a sentence related to 气象.","放到“气象”这一类里记，先把 tepid 和“微温的”稳定对应起来，再连同例句一起复用。","43"
"44","categorized-collection","按类型区分（4000词）","气象","气象","tornado","tɔːˈneɪdəʊ","n. 龙卷风；旋风","Try using ""tornado"" in a sentence related to 气象.","放到“气象”这一类里记，先把 tornado 和“龙卷风”稳定对应起来，再连同例句一起复用。","44"
"45","categorized-collection","按类型区分（4000词）","气象","气象","troposphere","ˈtrɒpəsfɪə(r)","n. 对流层","Try using ""troposphere"" in a sentence related to 气象.","放到“气象”这一类里记，先把 troposphere 和“对流层”稳定对应起来，再连同例句一起复用。","45"
"46","categorized-collection","按类型区分（4000词）","气象","气象","typhoon","taɪˈfuːn","n. 台风","Try using ""typhoon"" in a sentence related to 气象.","放到“气象”这一类里记，先把 typhoon 和“台风”稳定对应起来，再连同例句一起复用。","46"
"47","categorized-collection","按类型区分（4000词）","气象","气象","vapor","ˈveɪpə(r)","n. 蒸汽","Try using ""vapor"" in a sentence related to 气象.","放到“气象”这一类里记，先把 vapor 和“蒸汽”稳定对应起来，再连同例句一起复用。","47"
"48","categorized-collection","按类型区分（4000词）","气象","气象","whirlwind","ˈwɜːlwɪnd","n. 旋风；一片忙乱 adj. 旋风似的；快速的；匆匆忙忙的","Try using ""whirlwind"" in a sentence related to 气象.","放到“气象”这一类里记，先把 whirlwind 和“旋风”稳定对应起来，再连同例句一起复用。","48"
"49","categorized-collection","按类型区分（4000词）","数学","数学","error","ˈerə(r)","n. 错误；差错","Try using ""error"" in a sentence related to 数学.","放到“数学”这一类里记，先把 error 和“错误”稳定对应起来，再连同例句一起复用。","49"
"50","categorized-collection","按类型区分（4000词）","数学","数学","accuracy","ˈækjərəsi","n. 精确性；准确度","Try using ""accuracy"" in a sentence related to 数学.","放到“数学”这一类里记，先把 accuracy 和“精确性”稳定对应起来，再连同例句一起复用。","50"
"51","categorized-collection","按类型区分（4000词）","数学","数学","angle","ˈæŋɡl","n. 角；角度；视角 v. 斜放；运用手段获得","Try using ""angle"" in a sentence related to 数学.","放到“数学”这一类里记，先把 angle 和“角”稳定对应起来，再连同例句一起复用。","51"
"52","categorized-collection","按类型区分（4000词）","数学","数学","formula","ˈfɔːmjələ","n. 公式；配方；方案；分子式","Try using ""formula"" in a sentence related to 数学.","放到“数学”这一类里记，先把 formula 和“公式”稳定对应起来，再连同例句一起复用。","52"
"53","categorized-collection","按类型区分（4000词）","数学","数学","function","ˈfʌŋkʃ(ə)n","n. 功能；职责；函数 v. 起作用； 运行；行使职责","Try using ""function"" in a sentence related to 数学.","放到“数学”这一类里记，先把 function 和“功能”稳定对应起来，再连同例句一起复用。","53"
"54","categorized-collection","按类型区分（4000词）","数学","数学","addition","əˈdɪʃ(ə)n","n. 增加；加法；附加物","Try using ""addition"" in a sentence related to 数学.","放到“数学”这一类里记，先把 addition 和“增加”稳定对应起来，再连同例句一起复用。","54"
"55","categorized-collection","按类型区分（4000词）","数学","数学","divide","dɪˈvaɪd","v. 分开；分隔；除以","Try using ""divide"" in a sentence related to 数学.","放到“数学”这一类里记，先把 divide 和“分开”稳定对应起来，再连同例句一起复用。","55"
"56","categorized-collection","按类型区分（4000词）","数学","数学","multiply","ˈmʌltɪplaɪ","v. 乘；增加；繁殖","Try using ""multiply"" in a sentence related to 数学.","放到“数学”这一类里记，先把 multiply 和“乘”稳定对应起来，再连同例句一起复用。","56"
"57","categorized-collection","按类型区分（4000词）","数学","数学","subtract","səbˈtrækt","v. 减去；扣除","Try using ""subtract"" in a sentence related to 数学.","放到“数学”这一类里记，先把 subtract 和“减去”稳定对应起来，再连同例句一起复用。","57"
"58","categorized-collection","按类型区分（4000词）","数学","数学","adjacent","əˈdʒeɪs(ə)nt","adj. 相邻的；邻近的","Try using ""adjacent"" in a sentence related to 数学.","放到“数学”这一类里记，先把 adjacent 和“相邻的”稳定对应起来，再连同例句一起复用。","58"
"59","categorized-collection","按类型区分（4000词）","数学","数学","algebra","ˈældʒɪbrə","n. 代数","Try using ""algebra"" in a sentence related to 数学.","放到“数学”这一类里记，先把 algebra 和“代数”稳定对应起来，再连同例句一起复用。","59"
"60","categorized-collection","按类型区分（4000词）","数学","数学","arithmetic","əˈrɪθmətɪk","n. 算术","Try using ""arithmetic"" in a sentence related to 数学.","放到“数学”这一类里记，先把 arithmetic 和“算术”稳定对应起来，再连同例句一起复用。","60"
"61","categorized-collection","按类型区分（4000词）","数学","数学","equation","ɪˈkweɪʒ(ə)n","n. 方程式；等式","Try using ""equation"" in a sentence related to 数学.","放到“数学”这一类里记，先把 equation 和“方程式”稳定对应起来，再连同例句一起复用。","61"
"62","categorized-collection","按类型区分（4000词）","数学","数学","altitude","ˈæltɪtjuːd","n. 海拔；高度","Try using ""altitude"" in a sentence related to 数学.","放到“数学”这一类里记，先把 altitude 和“海拔”稳定对应起来，再连同例句一起复用。","62"
"63","categorized-collection","按类型区分（4000词）","数学","数学","geometry","dʒiˈɒmətri","n. 几何学","Try using ""geometry"" in a sentence related to 数学.","放到“数学”这一类里记，先把 geometry 和“几何学”稳定对应起来，再连同例句一起复用。","63"
"64","categorized-collection","按类型区分（4000词）","数学","数学","circumference","səˈkʌmfərəns","n. 圆周；周围；周长","Try using ""circumference"" in a sentence related to 数学.","放到“数学”这一类里记，先把 circumference 和“圆周”稳定对应起来，再连同例句一起复用。","64"
"65","categorized-collection","按类型区分（4000词）","数学","数学","slope","sləʊp","n. 斜坡；坡度 v. 倾斜；有坡度","Try using ""slope"" in a sentence related to 数学.","放到“数学”这一类里记，先把 slope 和“斜坡”稳定对应起来，再连同例句一起复用。","65"
"66","categorized-collection","按类型区分（4000词）","数学","数学","summation","sʌˈmeɪʃ(ə)n","n. 结论；总结；求和","Try using ""summation"" in a sentence related to 数学.","放到“数学”这一类里记，先把 summation 和“结论”稳定对应起来，再连同例句一起复用。","66"
"67","categorized-collection","按类型区分（4000词）","数学","数学","symmetry","ˈsɪmətri","n. 对称","Try using ""symmetry"" in a sentence related to 数学.","放到“数学”这一类里记，先把 symmetry 和“对称”稳定对应起来，再连同例句一起复用。","67"
"68","categorized-collection","按类型区分（4000词）","数学","数学","approximate","əˈprɒksɪmət","adj. 近似的；大约的 v. 接近；粗略估计","Try using ""approximate"" in a sentence related to 数学.","放到“数学”这一类里记，先把 approximate 和“近似的”稳定对应起来，再连同例句一起复用。","68"
"69","categorized-collection","按类型区分（4000词）","数学","数学","sequence","ˈsiːkwəns","n. 一系列；顺序；次序","Try using ""sequence"" in a sentence related to 数学.","放到“数学”这一类里记，先把 sequence 和“一系列”稳定对应起来，再连同例句一起复用。","69"
"70","categorized-collection","按类型区分（4000词）","数学","数学","progression","prəˈɡreʃ(ə)n","n. 进步；进展","Try using ""progression"" in a sentence related to 数学.","放到“数学”这一类里记，先把 progression 和“进步”稳定对应起来，再连同例句一起复用。","70"
"71","categorized-collection","按类型区分（4000词）","数学","数学","ascending","əˈsendɪŋ","adj. 上升的；向上的 v. 上升；升高；登高；“ascend”的现在分词","Try using ""ascending"" in a sentence related to 数学.","放到“数学”这一类里记，先把 ascending 和“上升的”稳定对应起来，再连同例句一起复用。","71"
"72","categorized-collection","按类型区分（4000词）","数学","数学","assumption","əˈsʌmpʃ(ə)n","n. 假设；假想","Try using ""assumption"" in a sentence related to 数学.","放到“数学”这一类里记，先把 assumption 和“假设”稳定对应起来，再连同例句一起复用。","72"
"73","categorized-collection","按类型区分（4000词）","数学","数学","probability","ˌprɒbəˈbɪləti","n. 概率；可能性；几率","Try using ""probability"" in a sentence related to 数学.","放到“数学”这一类里记，先把 probability 和“概率”稳定对应起来，再连同例句一起复用。","73"
"74","categorized-collection","按类型区分（4000词）","数学","数学","calculation","ˌkælkjuˈleɪʃ(ə)n","n. 计算；计算结果；推测；算计","Try using ""calculation"" in a sentence related to 数学.","放到“数学”这一类里记，先把 calculation 和“计算”稳定对应起来，再连同例句一起复用。","74"
"75","categorized-collection","按类型区分（4000词）","数学","数学","classification","ˌklæsɪfɪˈkeɪʃ(ə)n","n. 分类；分级","Try using ""classification"" in a sentence related to 数学.","放到“数学”这一类里记，先把 classification 和“分类”稳定对应起来，再连同例句一起复用。","75"
"76","categorized-collection","按类型区分（4000词）","数学","数学","combination","ˌkɒmbɪˈneɪʃ(ə)n","n. 组合；结合","Try using ""combination"" in a sentence related to 数学.","放到“数学”这一类里记，先把 combination 和“组合”稳定对应起来，再连同例句一起复用。","76"
"77","categorized-collection","按类型区分（4000词）","数学","数学","logarithm","ˈlɒɡərɪðəm","n. 对数","Try using ""logarithm"" in a sentence related to 数学.","放到“数学”这一类里记，先把 logarithm 和“对数”稳定对应起来，再连同例句一起复用。","77"
"78","categorized-collection","按类型区分（4000词）","数学","数学","complementary","ˌkɒmplɪˈmentri","adj. 互补的；补充的","Try using ""complementary"" in a sentence related to 数学.","放到“数学”这一类里记，先把 complementary 和“互补的”稳定对应起来，再连同例句一起复用。","78"
"79","categorized-collection","按类型区分（4000词）","数学","数学","square","skweə(r)","n. 平方；正方形；四方形；广场 v. 使成平方；与...一致 adj. 正方形的；四方形的；成直角的；平方的 adv. 成直角地","Try using ""square"" in a sentence related to 数学.","放到“数学”这一类里记，先把 square 和“平方”稳定对应起来，再连同例句一起复用。","79"
"80","categorized-collection","按类型区分（4000词）","数学","数学","Congruent","ˈkɒŋɡruənt","adj. 符合的；一致的；全等的","Try using ""Congruent"" in a sentence related to 数学.","放到“数学”这一类里记，先把 Congruent 和“符合的”稳定对应起来，再连同例句一起复用。","80"
"81","categorized-collection","按类型区分（4000词）","数学","数学","constant","ˈkɒnstənt","adj. 恒定的；不变的；持续的 n. 常数；常量","Try using ""constant"" in a sentence related to 数学.","放到“数学”这一类里记，先把 constant 和“恒定的”稳定对应起来，再连同例句一起复用。","81"
"82","categorized-collection","按类型区分（4000词）","数学","数学","coordinate","kəʊˈɔːdɪneɪt","v. 协调；使配合；搭配 n. 坐标 adj. （在句子中）并列的；坐标的","Try using ""coordinate"" in a sentence related to 数学.","放到“数学”这一类里记，先把 coordinate 和“协调”稳定对应起来，再连同例句一起复用。","82"
"83","categorized-collection","按类型区分（4000词）","数学","数学","cylinder","ˈsɪlɪndə(r)","n. 圆柱；圆筒；气缸","Try using ""cylinder"" in a sentence related to 数学.","放到“数学”这一类里记，先把 cylinder 和“圆柱”稳定对应起来，再连同例句一起复用。","83"
"84","categorized-collection","按类型区分（4000词）","数学","数学","Denominator","dɪˈnɒmɪneɪtə(r)","n. 分母","Try using ""Denominator"" in a sentence related to 数学.","放到“数学”这一类里记，先把 Denominator 和“分母”稳定对应起来，再连同例句一起复用。","84"
"85","categorized-collection","按类型区分（4000词）","数学","数学","deviation","ˌdiːviˈeɪʃ(ə)n","n. 偏离；出轨；背弃","Try using ""deviation"" in a sentence related to 数学.","放到“数学”这一类里记，先把 deviation 和“偏离”稳定对应起来，再连同例句一起复用。","85"
"86","categorized-collection","按类型区分（4000词）","数学","数学","dimension","daɪˈmenʃ(ə)n","n. 尺寸；维度","Try using ""dimension"" in a sentence related to 数学.","放到“数学”这一类里记，先把 dimension 和“尺寸”稳定对应起来，再连同例句一起复用。","86"
"87","categorized-collection","按类型区分（4000词）","数学","数学","evaluate","ɪˈvæljueɪt","v. 估价；评价","Try using ""evaluate"" in a sentence related to 数学.","放到“数学”这一类里记，先把 evaluate 和“估价”稳定对应起来，再连同例句一起复用。","87"
"88","categorized-collection","按类型区分（4000词）","数学","数学","hemisphere","ˈhemɪsfɪə(r)","n. 半球体；半个球","Try using ""hemisphere"" in a sentence related to 数学.","放到“数学”这一类里记，先把 hemisphere 和“半球体”稳定对应起来，再连同例句一起复用。","88"
"89","categorized-collection","按类型区分（4000词）","数学","数学","horizontal","ˌhɒrɪˈzɒnt(ə)l","adj. 水平的","Try using ""horizontal"" in a sentence related to 数学.","放到“数学”这一类里记，先把 horizontal 和“水平的”稳定对应起来，再连同例句一起复用。","89"
"90","categorized-collection","按类型区分（4000词）","数学","数学","hyperbola","haɪˈpɜːbələ","n. 双曲线","Try using ""hyperbola"" in a sentence related to 数学.","放到“数学”这一类里记，先把 hyperbola 和“双曲线”稳定对应起来，再连同例句一起复用。","90"
"91","categorized-collection","按类型区分（4000词）","数学","数学","intersect","ˌɪntəˈsekt","v. 相交；交叉；横穿","Try using ""intersect"" in a sentence related to 数学.","放到“数学”这一类里记，先把 intersect 和“相交”稳定对应起来，再连同例句一起复用。","91"
"92","categorized-collection","按类型区分（4000词）","数学","数学","invariance","ɪnˈveərɪəns","n. 不变性；恒常性","Try using ""invariance"" in a sentence related to 数学.","放到“数学”这一类里记，先把 invariance 和“不变性”稳定对应起来，再连同例句一起复用。","92"
"93","categorized-collection","按类型区分（4000词）","数学","数学","increment","ˈɪŋkrəmənt","n. 增加；增量","Try using ""increment"" in a sentence related to 数学.","放到“数学”这一类里记，先把 increment 和“增加”稳定对应起来，再连同例句一起复用。","93"
"94","categorized-collection","按类型区分（4000词）","数学","数学","maximize","ˈmæksɪmaɪz","v. 使增加至最大限度；最大化","Try using ""maximize"" in a sentence related to 数学.","放到“数学”这一类里记，先把 maximize 和“使增加至最大限度”稳定对应起来，再连同例句一起复用。","94"
"95","categorized-collection","按类型区分（4000词）","数学","数学","negative","ˈneɡətɪv","adj. 否定的；消极的；负面的 n. 否定的表达；负数；底片","Try using ""negative"" in a sentence related to 数学.","放到“数学”这一类里记，先把 negative 和“否定的”稳定对应起来，再连同例句一起复用。","95"
"96","categorized-collection","按类型区分（4000词）","数学","数学","Numerator","ˈnjuːməreɪtə(r)","n. （分数中的）分子","Try using ""Numerator"" in a sentence related to 数学.","放到“数学”这一类里记，先把 Numerator 和“（分数中的）分子”稳定对应起来，再连同例句一起复用。","96"
"97","categorized-collection","按类型区分（4000词）","数学","数学","pentagon","ˈpentəɡən","n. 五边形；五角形","Try using ""pentagon"" in a sentence related to 数学.","放到“数学”这一类里记，先把 pentagon 和“五边形”稳定对应起来，再连同例句一起复用。","97"
"98","categorized-collection","按类型区分（4000词）","数学","数学","perimeter","pəˈrɪmɪtə(r)","n. 周长；周围，边界","Try using ""perimeter"" in a sentence related to 数学.","放到“数学”这一类里记，先把 perimeter 和“周长”稳定对应起来，再连同例句一起复用。","98"
"99","categorized-collection","按类型区分（4000词）","数学","数学","permutation","ˌpɜːmjuˈteɪʃ(ə)n","n. 排列；排列中的任一组数字或文字","Try using ""permutation"" in a sentence related to 数学.","放到“数学”这一类里记，先把 permutation 和“排列”稳定对应起来，再连同例句一起复用。","99"
"100","categorized-collection","按类型区分（4000词）","数学","数学","quadrant","ˈkwɒdrənt","n. 四分之一圆周；象限；四分仪","Try using ""quadrant"" in a sentence related to 数学.","放到“数学”这一类里记，先把 quadrant 和“四分之一圆周”稳定对应起来，再连同例句一起复用。","100"
"101","categorized-collection","按类型区分（4000词）","数学","数学","quotient","ˈkwəʊʃ(ə)nt","n. 商（数学）；份额；系数","Try using ""quotient"" in a sentence related to 数学.","放到“数学”这一类里记，先把 quotient 和“商（数学）”稳定对应起来，再连同例句一起复用。","101"
"102","categorized-collection","按类型区分（4000词）","数学","数学","fraction","ˈfrækʃ(ə)n","n. 小部分；分数","Try using ""fraction"" in a sentence related to 数学.","放到“数学”这一类里记，先把 fraction 和“小部分”稳定对应起来，再连同例句一起复用。","102"
"103","categorized-collection","按类型区分（4000词）","数学","数学","decimal","ˈdesɪm(ə)l","adj. 小数的；十进位的 n. 小数","Try using ""decimal"" in a sentence related to 数学.","放到“数学”这一类里记，先把 decimal 和“小数的”稳定对应起来，再连同例句一起复用。","103"
"104","categorized-collection","按类型区分（4000词）","数学","数学","diameter","daɪˈæmɪtə(r)","n. 直径","Try using ""diameter"" in a sentence related to 数学.","放到“数学”这一类里记，先把 diameter 和“直径”稳定对应起来，再连同例句一起复用。","104"
"105","categorized-collection","按类型区分（4000词）","数学","数学","Ellipse","ɪˈlɪps","n. 椭圆","Try using ""Ellipse"" in a sentence related to 数学.","放到“数学”这一类里记，先把 Ellipse 和“椭圆”稳定对应起来，再连同例句一起复用。","105"
"106","categorized-collection","按类型区分（4000词）","数学","数学","radius","ˈreɪdiəs","n. 半径；范围","Try using ""radius"" in a sentence related to 数学.","放到“数学”这一类里记，先把 radius 和“半径”稳定对应起来，再连同例句一起复用。","106"
